requirement_key,topic,checklist_items,checklist_value,code_clause,code_value,authority,applies,verdict,applied_value,note
handrail.height.general,Handrails,"6.7, 9.9, 9.20",34 to 38 in,7.7.3,"not less than 30 in, not more than 48 in",BINDING,ALL,CONFLICT,30 to 48 in,Code is markedly wider. Adopt Code; note the divergence in the report.
handrail.diameter,Handrails,"5.5, 6.8, 9.10, 9.21",circular 1.25 to 2 in dia,"5.2.6(ii), 7.7.4","circular or oval, max 2 in dia at grip; no lower bound",BINDING,ALL,CONFLICT,max 2 in,Code sets no minimum. Retain checklist minimum as advisory.
handrail.noncircular,Handrails,"5.6, 6.9, 9.11, 9.22",perimeter 4 to 6.25 in,7.7.4,circular or oval only,BINDING,ALL,CONFLICT,Code,Code effectively disallows non-circular profiles; checklist dimensions them.
handrail.extension,Handrails,"5.3, 9.8",extend 12 in beyond top and bottom,"5.2.6(ii), 6.2.3(vii), 7.7.4","extend min 12 in beyond step or ramp, horizontally, at each end",BINDING,ALL,MATCH,12 in,
handrail.wall.clearance,Handrails,"12.27, 12.28",1.5 in space to wall (grab bars),7.7.4,fixed min 1.5 in from wall surface,BINDING,ALL,MATCH,1.5 in,
handrail.parallel.spacing,Handrails,-,not asked,"6.2.3(vi), 7.7.5",max 72 in between parallel handrails,BINDING,ALL,GAP_CHECKLIST,72 in,New item required.
handrail.both.sides,Handrails,"5.3, 9.8",continuous rails both sides,"5.2.4(iv), 6.2.3(vi)",outdoor: at least one side. Accessible stair/ramp: both sides,BINDING,ALL,CONFLICT,"both sides interior, one side min exterior",Code is weaker outdoors.
handrail.ends,Handrails,-,not asked,7.7.4,ends shall be rounded and not become hazardous as protruding objects,BINDING,ALL,GAP_CHECKLIST,Code,
parking.count.car,Parking,2.1,"1-25:1, 26-50:2, 51-75:3, 76-100:4","5.2.9(ii),(iii)",under 20 spaces: none required. 20-50: at least 1. Over 50: min 2 percent,BINDING,ALL,CONFLICT,Code,"Materially different. At 100 spaces: checklist 4, Code 2. Below 20 spaces the Code requires none."
parking.width.car,Parking,2.5,8 ft space + 5 ft aisle,5.2.10(i),"not less than 12 ft total, inclusive of a 48 in access aisle",BINDING,ALL,CONFLICT,12 ft incl. 48 in aisle,Checklist totals 13 ft; Code totals 12 ft with a narrower aisle.
parking.aisle.shared,Parking,2.5,two spaces may share an aisle,5.2.10(ii),a 48 in aisle may be shared between two adjacent spaces,BINDING,ALL,MATCH,shared permitted,
parking.van,Parking,"2.3, 2.4","1 van space per 6; 11 ft + 5 ft aisle, or 8 ft + 8 ft",-,not specified,UNSOURCED,ALL,GAP_CODE,drop or mark advisory,Van-accessible space is an ADA concept with no Code equivalent.
parking.motorcycle,Parking,2.2,"scooter space 4 x 5 ft, 3 ft gap","5.2.9(iv),(v), 5.2.10(iii)",50+ combined m/cycle and cycle spaces: 1 reserved. Over 50: min 4 percent. Width not less than 6 ft,BINDING,ALL,CONFLICT,Code,Code has scoping and a wider space; checklist has different dimensions and no scoping.
parking.headroom,Parking,-,not asked,5.2.10(iv),indoor accessible parking min height clearance 8 ft,BINDING,INTERIOR,GAP_CHECKLIST,8 ft,New item required.
parking.location,Parking,2.6,access aisles adjoin an accessible route,5.2.9(vi),reserved spaces located in clear view of and nearest to the accessible entrance,BINDING,ALL,CODE_STRICTER,Code,"Code adds proximity and visibility, not just connectivity."
parking.multistorey,Parking,-,not asked,5.2.9(i),at least one floor of a multi-storey indoor parking facility served by accessible lift or ramp,BINDING,INTERIOR,GAP_CHECKLIST,Code,
parking.marking,Parking,2.7,"sign with ISA, bottom min 60 in above ground; ground marking not required",5.2.10(v),clearly identified on the ground surface with internationally accepted markings,BINDING,ALL,CONFLICT,Code,"Direct contradiction: checklist says ground marking not required, Code requires it."
door.width.entrance,Doors,8.1,32 in clear at 90 degrees,"5.2.2(ii), 6.2.2(i)","not less than 33 in clear, and 80 in high, opening in direction of travel",BINDING,ALL,CODE_STRICTER,33 in,"Code also sets door height, which the checklist omits."
door.width.internal,Doors,-,not asked separately,7.6.6,33 in when approached at an angle; 30 in when approached straight on,BINDING,INTERIOR,GAP_CHECKLIST,33 in / 30 in by approach,Approach-dependent threshold; needs a conditional.
door.width.toilet,Doors,12.6,32 in clear,7.3.9,at least 30 in clear,BINDING,ALL,CHECKLIST_STRICTER,"32 in, flagged",
door.threshold,Doors,"8.3, 12.8",0.25 in max if vertical,6.2.2(iii),level change at threshold shall not exceed 0.75 in,BINDING,ALL,CHECKLIST_STRICTER,0.75 in,Threefold difference. Adopt Code as the pass threshold; note checklist value as preferred.
door.handle.height,Doors,"8.4, 12.10",34 to 48 in,7.6.7,"not less than 38 in, not more than 42 in; lever-type handles",BINDING,ALL,CONFLICT,38 to 42 in,Code is much narrower and mandates lever handles explicitly.
door.handle.clearance,Doors,"8.2, 12.7",18 in beyond latch side plus 60 in clear depth,7.6.2,unobstructed space min 12 in adjacent to door handle on leading face,BINDING,ALL,CONFLICT,"Code, checklist advisory",Different measurement basis.
door.force,Doors,"8.6, 12.11",5 lbf max,-,not specified,UNSOURCED,ALL,GAP_CODE,"checklist, flagged",No Code basis. Requires a pressure gauge; consider dropping from MVP.
door.swing.toilet,Doors,12.34,compartment area beyond swing,7.6.3,toilet doors to accessible compartments shall invariably open out,BINDING,ALL,CODE_STRICTER,Code,Code mandates outward swing; checklist only dimensions the inward case.
door.kickplate,Doors,-,not asked,7.6.8,kick plates not less than 10 in high,BINDING,ALL,GAP_CHECKLIST,10 in,New item required.
door.revolving,Doors,-,not asked,7.6.5,revolving doors shall not be considered accessible; automatic swing doors shall not open against direction of travel,BINDING,ALL,GAP_CHECKLIST,Code,New item required.
door.glass,Doors,-,not asked,7.6.9,frameless glass doors avoided unless prominently marked,BINDING,ALL,GAP_CHECKLIST,Code,
space.wheelchair.stationary,Space allowance,"10.1, 11.6, 12.19",30 x 48 in clear floor space,7.2.1,36 x 48 in for stationary wheelchair; 48 x 48 in for both forward and side approach,BINDING,ALL,CODE_STRICTER,36 x 48 in,Checklist uses the ADA 30 in figure throughout.
space.turning,Space allowance,"11.8, 11.15, 11.17, 12.16",60 in circle or T-shape in 60 in square,7.2.1,60 in diameter circle,BINDING,ALL,MATCH,60 in circle,Code does not mention the T-shaped alternative.
space.forward.reach,Space allowance,10.1,operable parts no higher than 48 in,7.2.2,forward reach 16 in min to 48 in max; over an obstruction max 20 in; side reach 10 to 52 in,BINDING,ALL,CODE_STRICTER,Code,Code sets a lower bound the checklist omits.
space.cane.zone,Space allowance,9.5,"protrusions max 4 in; leading edge 27 in or lower, or 80 in or higher",7.2.2,white cane zone extends 48 in across and 28 in in height,BINDING,ALL,CONFLICT,Code 28 in,27 in vs 28 in detection height.
toilet.provision,Sanitary facilities,12.1,"at least one accessible toilet, per sex or unisex",7.3.1,"at every floor where toilets are provided, at least one accessible toilet for male and female",BINDING,ALL,CODE_STRICTER,Code,"Code requires this per floor, not per building."
toilet.clear.space,Sanitary facilities,12.16,60 in turning circle,7.3.2,at least 60 in wide clear space in both directions; smaller toilets shall have door opening outside,BINDING,ALL,MATCH,60 in,
wc.seat.height,Sanitary facilities,12.26,17 to 19 in to top of seat,7.3.4,18 to 20 in above floor level,BINDING,ALL,CONFLICT,18 to 20 in,Ranges overlap only between 18 and 19 in.
wc.centreline,Sanitary facilities,12.24,16 to 18 in from side wall,7.3.4,18 to 21 in from centre line to adjoining wall,BINDING,ALL,CONFLICT,18 to 21 in,RANGES BARELY OVERLAP. A 17 in installation passes the checklist and fails the Code. Highest-priority resolution.
wc.type,Sanitary facilities,12.23,is the facility commode (yes/no),7.3.4,European type water closet; back support if un-coupled,BINDING,ALL,CODE_STRICTER,Code,Code adds the back-support requirement.
wc.muslim.shower,Sanitary facilities,-,not asked,7.3.5,reachable Muslim shower shall be provided at the adjoining wall,BINDING,ALL,GAP_CHECKLIST,Code,Locally significant requirement entirely absent from the ADA-derived checklist.
grab.bar.length,Sanitary facilities,"12.27, 12.28","42 in side wall, 36 in rear wall",7.7.6,not less than 24 in,BINDING,ALL,CHECKLIST_STRICTER,"checklist, flagged",Code sets a much lower floor. Retaining the checklist value is defensible but must be disclosed.
grab.bar.projection,Sanitary facilities,"12.27, 12.28",1.5 in space between wall and bar,7.7.6,shall extend 2 in away from the wall,BINDING,ALL,CONFLICT,2 in,
grab.bar.diameter,Sanitary facilities,-,not asked,7.7.6,external diameter between 1 and 2 in; plastic covered preferred over chrome; slightly corrugated surface recommended,BINDING,ALL,GAP_CHECKLIST,1 to 2 in,New item required.
mirror.height,Sanitary facilities,12.18,bottom edge max 40 in,7.3.7,bottom of mirror not more than 40 in above floor level,BINDING,ALL,MATCH,40 in,
toilet.controls.height,Sanitary facilities,12.29,flush control max 48 in,7.3.7,all operable parts and controls of fixtures within 40 to 48 in above floor level,BINDING,ALL,CODE_STRICTER,40 to 48 in,Code sets a lower bound.
basin.type,Sanitary facilities,"12.20, 12.21","front max 34 in; 27 in knee clearance, 8 in deep",7.3.3,wall mounted with lever handle controls; insulated and concealed hot water pipes,BINDING,ALL,GAP_CODE,both,"Code specifies type and safety, checklist specifies geometry. Merge; neither supersedes the other."
toilet.door.pullbar,Sanitary facilities,-,not asked,7.3.9,"24 in pull bar on inside; lockable inside, releasable from outside in emergency; spring or gravity closing hinges",BINDING,ALL,GAP_CHECKLIST,Code,New item required; the emergency-release provision is a safety requirement.
shower.area,Sanitary facilities,-,not asked,7.3.6,clear dimension 48 x 48 in; horizontal grab bar and folding waterproof shower seat preferred,BINDING,ALL,GAP_CHECKLIST,48 x 48 in,
lift.provision,Lifts,9.23,elevators or platform lifts to all public storeys,6.2.3(i) [second],in all multi-storey buildings at least one accessible lift serving all accessible floors,BINDING,INTERIOR,MATCH,Code,
lift.door.width,Lifts,"9.26, 9.27","32 in min (full size), 36 in (LULA variant)",7.8.1,min clear width 30 in; sliding or outward opening,BINDING,INTERIOR,CHECKLIST_STRICTER,"32 in, flagged",LULA is an ADA category with no Code equivalent.
lift.controls.height,Lifts,9.28,"15 to 42 in, or up to 48 in for parallel approach",7.8.1,switches and controls not more than 48 in above floor level,BINDING,INTERIOR,MATCH,Code max 48 in,Code sets no lower bound; retain 15 in as advisory.
lift.braille,Lifts,9.29,raised characters and Braille on car controls,"7.8.1, 7.8.4",talking and Braille signs in addition to regular signs,BINDING,INTERIOR,CODE_STRICTER,Code,"Code requires audible announcement, not merely tactile marking."
lift.size,Lifts,9.26,"54 in deep x 36 in wide, 16 sq ft min",7.8.3,size such that it accommodates at least one wheelchair user with an attendant (undimensioned),BINDING,INTERIOR,GAP_CODE,"checklist, flagged",Code is qualitative. Check Design Manual for the dimension.
lift.floor,Lifts,-,not asked,7.8.2,cab floor slip-resistant; walls resistant to wheelchair damage,BINDING,INTERIOR,GAP_CHECKLIST,Code,
lift.freight,Lifts,-,not asked,7.8.6,a freight elevator shall not be considered an accessible lift,BINDING,INTERIOR,GAP_CHECKLIST,Code,Disqualifying condition; affects NA logic.
controls.height,Controls,10.1,operable parts no higher than 48 in,7.9.1,recommended height 42 in above floor level,BINDING,ALL,CONFLICT,"max 48 in, 42 in preferred","Code phrases 42 in as a recommendation, not a limit."
controls.pullknob,Controls,-,not asked,7.9.2,pull knobs for ceiling switches not more than 40 in above floor,BINDING,ALL,GAP_CHECKLIST,40 in,
signage.character.height,Signage,-,not asked,6.2.6(ii),minimum character height 3 in for accessibility signage,BINDING,ALL,GAP_CHECKLIST,3 in,Significant gap. Checklist covers Braille placement but never character size.
signage.braille.height,Signage,Ch.1,"Braille and tactile between 900 and 1500 mm, ideal 1050 mm",5.2.12(ii),directional and guidance signs supplemented with Braille where within reach,BINDING,ALL,GAP_CODE,"checklist, flagged",Checklist Chapter 1 is the only metric section in the document; no Code basis for the figures.
signage.illuminated,Signage,-,not asked,"5.2.12(i), 6.2.6(iii)",signs shall be illuminated internally or externally,BINDING,ALL,GAP_CHECKLIST,Code,New item required.
illumination.general,Illumination,-,"15.4 asks 'adequate and without glare', unquantified","5.2.11, 6.2.3(ii),(iii)",min 5 foot-candle (55 lux) at all times; general illumination preferably 10 to 20 foot-candle (110 to 220 lux),BINDING,ALL,GAP_CHECKLIST,55 lux min,Requires a light meter in the tool kit. Significant addition to the instrument.
illumination.backup,Illumination,-,not asked,6.2.3(iv),"on power failure, illumination maintained by emergency supply for the duration the space is occupied",BINDING,INTERIOR,GAP_CHECKLIST,Code,
assembly.wheelchair.count,Assembly seating,11.40,"table 4-25:1, 26-50:2, 51-150:4, 151-300:5, with a note stating 5 percent",7.5.1,2 percent of seats reserved for wheelchair users,BINDING,ALL,CONFLICT,2 percent,"Checklist is internally inconsistent: its note says 5 percent, its table yields roughly 2.7 to 8 percent."
assembly.paired,Assembly seating,-,not asked,7.5.2,designated wheelchair spaces should where possible be paired,BINDING,ALL,GAP_CHECKLIST,advisory,
assembly.clear.space,Assembly seating,"11.43, 11.44, 11.45",36 in wide; 48 in deep front/rear entry; 60 in side entry,7.5.5,36 in wide clear space in front of first row or behind last row,BINDING,ALL,GAP_CODE,both,Different aspects; merge rather than choose.
assembly.stage,Assembly seating,11.39,ramp to stage/podium if provided,7.5.7,the stage or activity area shall be accessible,BINDING,ALL,MATCH,Code,
seating.dining.count,Seating,11.3,"at least 5 percent, no fewer than one",-,not specified,UNSOURCED,ALL,GAP_CODE,"checklist, flagged",No Code basis for dining seating percentage.
counter.height,Counters,"11.5, 11.36",28 to 34 in dining; max 36 in service counter,7.4.2,counter tops 30 to 33 in high; depth not more than 21 in; clear knee space underneath,BINDING,ALL,CONFLICT,30 to 33 in,Code range is narrower and adds a depth limit.
shelving.height,Counters,"11.29, 11.30, 11.38",displays max 36 in; overhead shelves above 49 in; dispensers max 48 in,7.4.4,shelves and storage between 12 and 48 in above floor level,BINDING,ALL,CONFLICT,12 to 48 in,Code sets a lower bound the checklist lacks.
hotwater.insulation,Counters,-,not asked,"7.4.5, 7.3.3",all exposed hot water pipes under sinks and counters shall be insulated and concealed,BINDING,ALL,GAP_CHECKLIST,Code,Safety requirement absent from the checklist.
egress.count,Emergency egress,"14.1, 14.2",exits identifiable and accessible (qualitative),8.2.2(ii),"one accessible egress per 5,000 sq ft gross floor area, or occupant load of 50, or 100 ft travel distance, whichever is most stringent",BINDING,ALL,GAP_CHECKLIST,Code,Major gap. Checklist has four qualitative questions where the Code has a computation.
egress.lift,Emergency egress,14.3,is the lift an evacuation lift,"8.2.3(iii), 7.8.5",fire-protected construction; operable on emergency power for at least 30 minutes; egress signage; illuminated,BINDING,ALL,CODE_STRICTER,Code,Checklist asks yes/no; Code gives four testable criteria.
egress.illumination,Emergency egress,-,not asked,8.2.4,"at least 1 foot-candle (11 lux) at floor level; on failure, emergency supply for 30 min at min 0.1 foot-candle (1 lux)",BINDING,ALL,GAP_CHECKLIST,Code,
egress.alarm,Emergency egress,13.1,alarms have flashing lights and audible signals,8.2.6,auditory and visual signals covering the entire accessible space,BINDING,ALL,CODE_STRICTER,Code,Code adds full coverage.
egress.refuge,Emergency egress,-,not asked,8.3.1,"area of refuge required in all multi-storey buildings and low-rise with 5,000 sq ft accessible floor area; must hold two wheelchairs with attendants; communication to managerial station; tactile door handle warnings",BINDING,ALL,GAP_CHECKLIST,Code,Entire concept absent from the checklist. Multiple new items.
egress.plan,Emergency egress,14.4,is safety drill performed (yes/no),8.3.2,written rescue assistance plan required; copy to on-site staff and to the government evacuation agency; drill at least once every year,BINDING,ALL,CODE_STRICTER,Code,Checklist has no frequency and does not ask for the plan document.
egress.hospital.ramp,Emergency egress,-,not asked,8.2.7,"in hospitals and buildings for persons requiring mobility assistance, an accessible ramp for egress should be considered",BINDING,ALL,GAP_CHECKLIST,advisory,Sector-gated to Health.
scope.exemption.smallprivate,Scoping,-,not asked,"3.2.4(iii), 4.3.3(xi)(b)","existing privately owned public-use buildings under 2,500 sq ft gross floor area are exempt",BINDING,EXISTING,GAP_CHECKLIST,Code,"Gating condition. Requires site ownership type, gross floor area and new/existing attributes."
scope.government,Scoping,-,not asked,3.2.1,"all government-owned or government-occupied buildings covered irrespective of size, location or use",BINDING,ALL,GAP_CHECKLIST,Code,No exemption path for government buildings.
scope.mandatory.vs.preferred,Scoping,-,all items weighted equally,4.2.2,"mandatory requirements (total compliance new, achievable existing) vs preferred standards (voluntary)",BINDING,ALL,GAP_CHECKLIST,Code,Maps directly onto item severity weighting. Chapter 4.3 assigns mandatory/preferred per building type.
scope.residential.units,Scoping,-,not asked,"4.3.3(i),(ii),(iii)",low-rise: 50 percent of ground floor units. Multi-storey: 10 percent of total units. Hotels: 10 percent of guest rooms,BINDING,ALL,GAP_CHECKLIST,Code,Percentage scoping the checklist never asks about.
scope.existing.achievable,Scoping,-,not asked,"3.2.3, 4.2.2(a)",existing buildings modified to an achievable extent within economic capacity,BINDING,EXISTING,GAP_CHECKLIST,Code,"Softens findings for existing buildings; affects recommendation wording, not the threshold."
furniture.rest.intervals,Street furniture,-,not asked,5.2.13(iii),"resting facilities at intervals between 100 m and 200 m, adjacent to but outside the accessible route",BINDING,EXTERIOR,GAP_CHECKLIST,100 to 200 m,Metric in an otherwise imperial Code.
furniture.contrast,Street furniture,-,not asked,5.2.13(ii),textural and colour changes in floor surface to identify street furniture,BINDING,EXTERIOR,GAP_CHECKLIST,Code,
toilet.public.outdoor,Public toilets,-,sector category exists but no items,5.2.14,"at least one unisex accessible toilet per public toilet location, with wash basin, European WC, grab bars, running water, workable illumination; large enough for one wheelchair user plus attendant of either gender",BINDING,EXTERIOR,GAP_CHECKLIST,Code,Public Toilet is one of the twelve sectors but the checklist provides no dedicated items.
